name,ra,dec,redshift,note
NGC 4151,182.6358,39.4057,0.003,Seyfert 1
NGC 5548,214.4979,25.1369,0.017,Seyfert 1
Mrk 335,1.5817,20.2031,0.026,Seyfert 1
Mrk 817,217.1375,58.7944,0.031,Seyfert 1
3C 273,187.2779,2.0524,0.158,brightest QSO
PG 0953+414,149.2191,41.1556,0.239,QSO
PG 1411+442,213.3629,44.0003,0.09,QSO
PG 0804+761,122.7229,76.0406,0.1,QSO
PG 1351+640,208.3125,63.7661,0.087,QSO
PG 1440+356,220.765,35.4217,0.079,QSO
PG 1613+658,243.5096,65.7147,0.129,QSO
PG 1229+204,187.9029,20.1697,0.064,QSO
PG 1426+015,217.2025,1.2839,0.086,QSO
PG 1543+489,236.3938,48.7761,0.4,QSO
PG 1626+554,247.0342,55.3786,0.133,QSO
PG 2130+099,323.1175,10.175,0.063,QSO
PG 1309+355,197.9296,35.2581,0.184,QSO
PG 1402+261,211.3429,25.9211,0.164,QSO
PG 1512+370,228.6204,36.8578,0.371,QSO
SDSS J1330+1810,202.5242,18.1736,0.373,QSO
SDSS J1400+3134,210.0104,31.5808,0.44,QSO
SDSS J0838+2955,129.5629,29.9269,0.31,QSO
Akn 120,79.0471,-0.15,0.033,AGN
PG 1116+215,169.7617,21.3211,0.176,QSO
PG 1322+659,201.2667,65.6619,0.168,QSO
