name,ra,dec,redshift,note
Q 0957+561,150.3425,55.8978,,
PG 1115+080,169.5717,7.7658,,
HE 0435-1223,69.5621,-12.2873,,
SDSS J1004+4112,151.1558,41.2019,,
SDSS J1029+2623,157.3967,26.3892,,
H 1413+117,213.9408,11.4958,,
B 1422+231,216.1575,22.9314,,
HS 0810+2554,123.26,25.7458,,
SBS 1520+530,230.5725,52.9142,,
B 1600+434,240.5788,43.3344,,
3C 273,187.2779,2.0524,,
Mrk 335,1.5817,20.2031,,
Mrk 509,311.0404,-10.7233,,
Mrk 817,217.1375,58.7944,,
NGC 4151,182.6358,39.4057,,
NGC 5548,214.4979,25.1369,,
PG 0953+414,149.2191,41.1556,,
PG 1411+442,213.3629,44.0003,,
PG 1613+658,243.5096,65.7147,,
PG 0804+761,122.7229,76.0406,,
PG 0844+349,131.9113,34.7506,,
PG 1440+356,220.765,35.4217,,
PG 1351+640,208.3125,63.7661,,
PG 1626+554,247.0342,55.3786,,
PG 2130+099,323.1175,10.175,,
Akn 120,79.0471,-0.15,,
SDSS J000000.15+353104.2 ,0.0006286,35.5178439,0.845,
UVQSJ000000.15-200427.7  ,0.0006575,-20.074344,0.291,
SDSS J000000.36+274356.2 ,0.0015265,27.7322834,1.771,
SDSS J000000.36+070350.8 ,0.0015354,7.0641294,1.574,
SDSS J000000.47-002703.9 ,0.0019784,-0.4510884,0.25,
SDSS J000000.62+311944.3 ,0.0025788,31.3289781,1.991,
SDSS J000000.72+305758.5 ,0.0030165,30.9662772,1.623,
WISEA J000000.73-135724.8,0.0030791,-13.9569382,1.8,
SDSS J000000.76+051545.8 ,0.0031742,5.2627357,1.548,
LAMOSTJ000000.77+114227.5,0.0032493,11.7076422,0.508,
WISEA J000000.82-211752.5,0.0034588,-21.2979373,1.1,
SDSS J000000.90+011653.6 ,0.0037807,1.28156,0.251,
SDSS J000000.97+044947.2 ,0.0040756,4.8297891,1.619,
SDSS J000001.01+080422.5 ,0.0042343,8.072944,0.857,
SDSS J000001.08+295225.0 ,0.0045285,29.8736184,1.496,
SDSS J000001.20+240354.5 ,0.0050258,24.0651626,1.616,
WISEA J000001.17+131813.8,0.0050426,13.3037501,1.7,
SDSS J000001.23+360541.5 ,0.0051415,36.0948733,1.616,
KX 208                   ,0.0052954,7.0246577,1.227,
FBQS J00000-0202         ,0.0053239,-2.0332551,1.36,
SDSS J000001.33+112029.8 ,0.0055688,11.3416119,0.538,
SDSS J000001.47+290007.0 ,0.0061322,29.0019782,1.58,
SDSS J000001.47+211636.1 ,0.006147,21.2767149,0.935,
J000001.59-251706.8      ,0.0066656,-25.2852451,1.4,
J000001.73+003824.6      ,0.0072223,0.6401667,,
WISEA J000001.76-040151.6,0.0073424,-4.0309488,1.3,
SDSS J000001.85+140128.2 ,0.0077255,14.024503,0.48,
WISEA J000001.89-094652.0,0.007879,-9.7811013,0.8,
SDSS J000001.95+052108.7 ,0.0081458,5.3524372,0.404,
SDSS J000002.05+344043.2 ,0.0085631,34.6786823,1.576,
SDSS J000002.06+192417.7 ,0.0085957,19.4048968,0.847,
SDSS J000002.09+272708.5 ,0.0086882,27.4523709,1.36,
SDSS J000002.15+151516.6 ,0.0089611,15.2546542,1.71,
SDSS J000002.19-021947.2 ,0.009125,-2.3297799,1.966,
SDSS J000002.27+003739.1 ,0.0094881,0.6275587,0.248,
SDSS J000002.50+021818.9 ,0.0104307,2.3052535,0.788,
SDSS J000002.63+281959.4 ,0.0109913,28.3331769,1.498,
XMM J00000-2511          ,0.0111783,-25.1936023,1.314,
SDSS J000002.92+275904.3 ,0.0121789,27.984543,1.533,
WISEA J000002.92-051940.0,0.0121906,-5.3277633,0.7,
SDSS J000002.97+225645.9 ,0.0124326,22.9461067,1.759,
J000003.12-135200.7      ,0.0130201,-13.8668803,1.8,
SDSS J000003.18+050822.3 ,0.0132702,5.1395551,1.791,
WISEA J000003.18-074105.7,0.0133261,-7.684978,1.1,
SDSS J000003.20+013017.8 ,0.0133287,1.5049801,1.696,
SDSS J000003.24+113119.1 ,0.0134854,11.5219784,0.482,
