name,ra,dec,redshift,note
2SLAQ J004528.21-003821.0,11.3675721,-0.6391691,0.0,
NGC 253                  ,11.887875,-25.2886389,0.001,
NGC 4151,182.6358,39.4057,0.003,Seyfert 1
ESO 540-14               ,10.299,-21.1315,0.005,
ZOAG 120.54+5.61         ,6.3864167,68.3624723,0.012,
MCG -2-02-030            ,7.5304456,-11.1136416,0.012,
2SLAQ J003658.22-002655.7,9.2426171,-0.4488141,0.013,
SDSS J004956.72-023248.9 ,12.486346,-2.5469314,0.013,
MARK 348                 ,12.1964266,31.9569565,0.014,
MCG -1-02-012            ,6.4785894,-3.4207992,0.015,
CGCG 501-58              ,14.9720223,31.8270146,0.015,
NGC 5548,214.4979,25.1369,0.017,Seyfert 1
IC 1559                  ,9.2180556,23.9848056,0.017,
NGC 78B                  ,5.1146266,0.8335536,0.018,
MCG 0-03-074             ,16.7881694,-0.6217407,0.018,
IRAS 00160-0719          ,4.6496,-7.0488365,0.018,
UGC 615                  ,14.9171438,15.3309785,0.018,
NGC 426                  ,18.2025101,-0.2902041,0.018,
MCG 0-02-002             ,4.9472308,0.5907748,0.018,
PGC 1455246              ,1.5817141,14.3274301,0.018,
MCG -2-03-061            ,15.0172081,-11.0826151,0.018,
NPM 1G+00.0041           ,17.7471428,0.4336322,0.019,
NGC 291                  ,13.3746561,-8.7677883,0.019,
PGC 1424313              ,17.8470231,13.1602211,0.019,
NGC 34                   ,2.777296,-12.1076425,0.019,
MCG -2-02-095            ,10.7865479,-11.6010658,0.019,
MCG -2-02-035            ,7.7240423,-9.2078395,0.02,
NGC 166                  ,8.95325,-13.6106389,0.02,
ESO 541-1                ,13.7631873,-19.0058635,0.021,
MARK 334                 ,0.7900422,21.9602647,0.022,
NGC 235                  ,10.7200432,-23.5410314,0.022,
NGC 71                   ,4.598,30.0634445,0.022,
2SLAQ J005625.37-001810.1,14.1057181,-0.3028221,0.024,
PGC 3095497              ,15.8793056,-12.2685556,0.024,
CGCG 551-8               ,17.5585672,50.1752948,0.024,
CGCG 479-49              ,9.6338056,23.6134167,0.025,
UGC 40                   ,1.4516139,27.4494021,0.025,
ESO 538-25               ,2.7259964,-21.0674227,0.026,
KUG 0003+199             ,1.5814049,20.2029493,0.026,
NPM 1G+18.0001           ,0.7238013,18.844574,0.026,
MARK 543                 ,0.6100838,3.3519262,0.026,
Mrk 335,1.5817,20.2031,0.026,Seyfert 1
PKS 0017+200             ,4.9077287,20.362683,0.027,
ESO 540-1                ,8.5568624,-21.438453,0.027,
SDSS J004042.10-110957.6 ,10.1754251,-11.1660051,0.027,
2QZ J003223.6-273544     ,8.0986553,-27.5957717,0.028,
MARK 937                 ,2.5445,-4.7101389,0.03,
NGC 7808                 ,0.8838826,-10.7446888,0.03,
Mrk 817,217.1375,58.7944,0.031,Seyfert 1
SDSS J004229.81+130313.4 ,10.624211,13.053744,0.031,
ESO 540-17               ,11.0909167,-17.3512223,0.031,
CGCG 518-9               ,0.4936224,36.64906,0.032,
Akn 120,79.0471,-0.15,0.033,AGN
PGC 1438766              ,10.3554781,13.7263861,0.033,
2SLAQ J005730.01-002057.2,14.3750501,-0.3492481,0.034,
UGC 793                  ,18.702821,-0.4961385,0.034,
MCG 0-02-094             ,9.3992205,0.2806853,0.035,
UGC 524                  ,12.8959141,29.4012923,0.036,
NPM 1G+14.0602           ,0.503459,15.0256238,0.036,
PGC 974393               ,10.5624715,-10.7375064,0.036,
MCG -3-02-027            ,9.5767626,-14.8488546,0.037,
DENISP_G_J0039482-090835 ,9.9515862,-9.1429311,0.037,
NGC 118                  ,6.817603,-1.7801444,0.037,
MCG 0-02-020             ,6.0795623,-1.6382138,0.038,
SDSS J010141.08-100830.5 ,15.4211721,-10.1418252,0.038,
MCG 0-02-025             ,6.3130634,-1.1117594,0.038,
PGC 1023662              ,0.203258,-7.1532263,0.038,
NGC 60                   ,3.9926875,-0.3035254,0.039,
UGC 488                  ,11.8308063,14.7034826,0.039,
PGC 1349282              ,14.5814231,8.5626906,0.039,
IRASF 00129+0021         ,3.8739209,0.6397632,0.04,
RXS J00001+0523          ,0.04886,5.388198,0.04,
IC 78                    ,17.1986783,-15.8451935,0.04,
PGC 1814347              ,0.8643215,27.6547941,0.04,
CGCG 409-17              ,7.0598255,7.1292983,0.04,
PGC 1466823              ,13.9136697,14.7736028,0.04,
SDSS J010053.57+152728.1 ,15.2232539,15.4578194,0.04,
UM 85                    ,16.6885864,6.6338522,0.041,
IRAS 00065+1411          ,2.282907,14.4655211,0.041,
2SLAQ J005659.34-001243.3,14.2472771,-0.2120521,0.041,
PGC 1488562              ,18.2475931,15.5914511,0.041,
CGCG 433-31              ,2.6995627,14.8503711,0.042,
IC 9                     ,4.933245,-14.1219019,0.042,
PGC 1449598              ,16.0468711,14.1148051,0.042,
KAZ 366                  ,10.6535986,-10.8228045,0.042,
FGC 61                   ,8.681287,-0.0407605,0.042,
IRAS 00212-0034          ,5.9554308,-0.3011023,0.043,
SDSS J010918.74+021150.1 ,17.328091,2.197269,0.043,
KUG 2358+330             ,0.2420556,33.3435278,0.043,
2SLAQ J005627.09-000504.3,14.1128851,-0.0845281,0.043,
PGC 1532207              ,6.6388265,17.4148227,0.043,
NPM 1G+00.0014           ,9.6794702,0.5810575,0.043,
NPM 1G+00.0035           ,16.5288627,0.3403307,0.044,
KUG 0028+022             ,7.7051112,2.5745834,0.044,
2SLAQ J004442.56-004608.9,11.1773531,-0.7691401,0.044,
NPM 1G-00.0029           ,14.5019113,-0.2909012,0.044,
PGC 1484369              ,1.6065842,15.428754,0.044,
NPM1G+40.0002            ,2.0848624,40.6322013,0.044,
MCG 0-03-027             ,13.8203531,-0.9179216,0.044,
NPM 1G+00.0007           ,4.1928919,1.2103021,0.044,
MCG 0-02-134             ,10.663929,0.2774006,0.044,
2SLAQ J005209.16-000434.9,13.0381706,-0.0763771,0.044,
2SLAQ J004231.32-002602.4,10.6305371,-0.4340171,0.044,
IC 64                    ,14.8518581,27.058992,0.045,
PGC 1136820              ,17.4876949,-0.703535,0.045,
2SLAQ J004914.28-002354.4,12.3095181,-0.3984661,0.045,
2SLAQ J005718.54-003934.8,14.3272521,-0.6596741,0.045,
2SLAQ J003848.76-000849.1,9.7031911,-0.1469821,0.045,
2SLAQ J004111.92-005338.9,10.2997081,-0.8941571,0.045,
CGCG 433-25              ,2.0234241,14.8398245,0.045,
A85-F                    ,10.3953769,-9.3640415,0.045,
2SLAQ J003904.33-002205.9,9.7680731,-0.3683251,0.045,
NPM 1G+14.0003           ,1.927735,15.1868746,0.045,
UGC 768                  ,18.2899881,2.2879474,0.046,
PGC 1238970              ,17.2582518,2.8459869,0.046,
NPM 1G-01.0033           ,14.8276381,-0.9879909,0.046,
DRCG 6-43                ,18.6244501,0.2152064,0.046,
2SLAQ J005612.60-002912.3,14.0525051,-0.4867591,0.046,
2SLAQ J010524.07-001101.0,16.3502941,-0.1836171,0.047,
PGC 963299               ,16.9151667,-11.6532223,0.047,
UGC 773                  ,18.4297727,2.371474,0.047,
NPM 1G-01.0028           ,13.4276769,-1.0851722,0.047,
PGC 1126831              ,14.6978821,-1.0971445,0.047,
QBQS J005833.99-040823.6 ,14.6416424,-4.1398497,0.048,
